c|packed
Finland|08-23~44,5,3,2,2 05-18~34,4,4,3,3 08-19~69,10,1,0,0 09-01~53,10,6,2,0 06-12~65,3,1,1,1 06-29~70,2,1,1,0 07-31~90,12,5,3,2 08-07~80,10,4,4,0 06-25~66,10,2,1,1 08-18~55,16,7,3,2 05-01~25,3,0,0,0 06-13~51,4,2,0,0 06-03~40,4,0,0,0 2026-07~1016,395,197,133,56 07-22~70,29,10,9,5 05-30~35,5,3,1,0 08-12~75,9,3,3,3 06-27~66,1,0,0,0 07-25~58,16,8,2,0 08-20~57,8,3,2,1 08-25~49,6,1,1,1 05-16~29,3,1,1,1 2026-06~688,110,54,24,13 07-20~56,16,5,2,1 08-26~58,15,9,4,3 06-06~41,5,3,1,1 2026-07M~168,10,5,4,1 07-12~48,8,0,0,0 06-30~82,1,1,1,1 07-28~111,25,9,4,1 07-01~91,5,3,3,1 06-19~65,2,1,1,1 07-02~117,5,2,1,0 2026-08M~147,24,9,3,0 09-02~51,13,2,2,1 05-06~38,3,0,0,0 06-24~66,8,3,0,0 08-17~57,10,1,0,0 07-17~57,13,5,3,1 06-16~92,4,3,2,0 08-02~85,12,4,3,0 05-17~24,1,1,1,0 06-15~66,3,1,0,0 05-09~27,0,0,0,0 07-04~107,4,2,1,0 05-03~34,5,0,0,0 05-19~34,4,3,2,1 07-23~66,26,11,6,1 05-28~55,3,1,0,0 05-21~31,4,1,1,1 05-04~44,12,0,0,0 06-22~53,3,2,1,0 06-09~65,10,6,1,1 07-11~52,8,4,2,2 2026-05~414,121,37,27,19 07-27~79,18,7,5,2 07-21~53,13,3,1,0 05-31~40,7,6,4,1 07-03~86,5,4,3,0 06-07~20,0,0,0,0 05-15~36,4,1,1,1 07-13~64,12,8,7,1 2026-08~923,286,112,72,34 08-08~65,4,3,2,1 05-26~27,4,3,3,2 05-25~33,6,2,1,1 07-29~100,23,5,2,1 07-30~111,22,10,7,2 06-28~64,2,1,1,0 07-06~65,5,4,0,0 06-21~49,2,1,0,0 08-14~55,11,5,3,1 06-10~92,4,4,1,0 07-08~73,24,11,10,7 08-15~52,3,1,0,0 05-08~42,6,0,0,0 07-24~72,22,9,6,3 06-23~54,4,3,1,0 05-14~37,5,4,3,2 08-30~30,7,2,0,0 08-31~45,14,7,5,3 08-13~78,21,3,1,0 05-12~27,4,0,0,0 2026-09~78,23,8,4,1 05-02~30,2,0,0,0 08-10~64,14,7,4,0 08-11~114,16,3,2,0 05-05~34,3,0,0,0 07-18~52,16,7,1,1 07-07~104,21,12,6,3 08-28~47,8,1,0,0 06-17~82,2,0,0,0 06-01~44,9,3,2,2 07-19~50,13,7,5,3 08-27~44,8,4,3,2 07-09~72,21,14,11,3 06-11~87,3,1,1,0 all~2612,887,403,264,125 06-14~63,4,1,0,0 05-24~28,1,0,0,0 05-11~37,10,0,0,0 06-26~69,5,1,0,0 08-21~53,6,3,1,1 06-20~49,4,3,0,0 07-15~65,14,4,2,1 08-05~80,11,4,2,0 06-04~94,1,1,1,0 06-18~60,3,0,0,0 2026-06M~76,20,10,7,5 07-05~83,7,4,2,2 08-06~83,13,9,5,1 05-27~37,3,1,1,1 08-03~78,15,4,4,1 08-16~59,10,2,1,0 2026-09M~78,23,8,4,1 08-22~47,5,1,0,0 05-20~35,2,1,1,1 08-24~47,9,3,2,1 08-01~84,12,5,0,0 05-10~26,1,0,0,0 05-07~41,9,0,0,0 08-04~80,12,3,3,0 06-05~49,2,2,1,1 07-10~60,15,4,1,1 06-08~47,3,2,1,1 2026-05M~42,5,0,0,0 07-14~73,22,10,9,2 05-23~37,1,1,0,0 08-29~42,11,7,3,1 07-16~66,15,6,3,0 08-09~60,2,0,0,0 06-02~56,11,7,5,3 07-26~62,21,6,5,1 05-29~41,1,0,0,0 05-22~44,6,3,2,2 05-13~32,3,0,0,0 sr~3133,2048 se~15374,840,81,8.8,3.49
France|05-22~7,3,2,1,0 05-01~4,0,0,0,0 2026-07M~13,0,0,0,0 08-27~12,0,0,0,0 07-13~8,3,2,1,1 08-13~13,1,1,0,0 06-30~9,2,0,0,0 07-28~47,1,0,0,0 07-24~7,1,1,1,1 08-01~33,0,0,0,0 05-18~4,0,0,0,0 08-17~27,3,1,1,0 07-12~5,1,1,0,0 08-12~21,2,0,0,0 07-02~9,0,0,0,0 08-06~41,2,0,0,0 2026-06M~8,0,0,0,0 05-07~4,0,0,0,0 06-23~9,2,1,1,0 08-26~16,1,0,0,0 05-29~4,2,1,1,0 2026-05M~5,0,0,0,0 07-26~6,1,1,0,0 06-24~9,1,0,0,0 2026-09~10,2,1,0,0 08-05~37,1,0,0,0 06-21~7,1,0,0,0 07-07~148,1,1,0,0 2026-05~58,24,13,8,3 06-13~8,0,0,0,0 06-29~14,2,2,0,0 07-31~54,1,0,0,0 08-04~30,0,0,0,0 07-18~24,1,1,1,0 06-03~4,0,0,0,0 08-25~14,1,0,0,0 08-03~29,1,0,0,0 07-25~7,3,3,1,0 08-14~24,4,0,0,0 06-16~14,0,0,0,0 07-17~20,3,2,2,1 05-06~6,0,0,0,0 08-24~16,0,0,0,0 07-14~9,2,2,0,0 05-10~4,2,0,0,0 06-05~5,1,0,0,0 06-22~12,0,0,0,0 05-31~7,0,0,0,0 05-13~2,0,0,0,0 07-23~11,1,0,0,0 06-10~11,0,0,0,0 07-08~8,1,0,0,0 08-21~25,2,1,0,0 06-26~5,1,1,0,0 06-20~11,0,0,0,0 05-28~8,5,3,1,1 all~1473,133,55,28,12 05-16~7,2,2,2,2 05-05~5,0,0,0,0 06-02~5,0,0,0,0 07-06~95,0,0,0,0 06-12~10,0,0,0,0 05-14~2,0,0,0,0 08-11~38,6,2,1,1 05-23~2,1,0,0,0 05-17~4,1,1,0,0 07-30~42,3,0,0,0 06-28~9,1,0,0,0 07-29~53,1,0,0,0 08-22~20,2,1,1,0 06-07~5,1,0,0,0 07-20~18,1,1,1,0 06-09~6,1,0,0,0 07-11~11,1,0,0,0 08-15~29,2,0,0,0 05-11~5,1,0,0,0 06-25~8,2,0,0,0 07-22~6,2,2,0,0 08-16~30,1,0,0,0 05-20~2,0,0,0,0 08-02~51,0,0,0,0 08-29~11,2,1,1,0 08-28~21,1,0,0,0 05-12~1,0,0,0,0 08-23~22,1,0,0,0 05-02~2,0,0,0,0 05-15~3,1,1,1,0 08-09~46,3,1,1,0 08-08~40,5,0,0,0 08-20~18,0,0,0,0 07-01~9,0,0,0,0 06-19~14,5,2,0,0 05-24~7,1,1,0,0 06-06~8,3,2,0,0 08-31~9,0,0,0,0 07-16~12,4,1,0,0 06-18~15,2,1,1,0 08-07~43,2,1,0,0 07-10~5,0,0,0,0 06-08~3,0,0,0,0 07-15~9,3,2,0,0 05-21~5,0,0,0,0 2026-07~584,37,22,10,5 05-08~5,1,0,0,0 07-27~37,3,1,1,0 2026-08~697,46,9,6,1 07-21~9,1,1,0,0 06-14~15,0,0,0,0 05-04~5,1,0,0,0 07-05~7,1,1,0,0 06-01~7,0,0,0,0 07-19~33,0,0,0,0 06-04~7,0,0,0,0 05-25~6,3,2,2,0 09-02~7,1,0,0,0 2026-09M~10,2,1,0,0 08-18~35,2,1,0,0 2026-06~170,27,10,3,1 05-09~5,0,0,0,0 08-19~21,2,0,0,0 09-01~6,1,1,0,0 07-04~7,0,0,0,0 05-19~3,1,0,0,0 07-09~6,1,1,0,0 06-11~17,1,1,1,1 06-15~18,1,0,0,0 2026-08M~82,0,0,0,0 08-30~8,0,0,0,0 06-17~10,0,0,0,0 08-10~55,3,0,0,0 07-03~9,0,0,0,0 06-27~4,1,0,0,0 05-03~4,0,0,0,0 05-26~3,0,0,0,0 05-30~4,0,0,0,0 05-27~3,0,0,0,0 sr~2196,1729 se~2935,585,22,28.9,3.8
French Guiana|07-29~1,0,0,0,0 08-11~1,0,0,0,0 2026-07~2,1,0,0,0 08-28~1,0,0,0,0 2026-08~10,0,0,0,0 08-04~2,0,0,0,0 08-15~2,0,0,0,0 06-06~1,1,0,0,0 08-05~2,0,0,0,0 08-06~1,0,0,0,0 2026-06~2,1,0,0,0 06-26~1,0,0,0,0 07-28~1,1,0,0,0 08-20~1,0,0,0,0 all~14,2,0,0,0
French Polynesia|05-17~2,1,1,0,0 05-23~1,0,0,0,0 08-28~1,0,0,0,0 06-16~1,0,0,0,0 all~17,3,1,1,0 2026-08~1,0,0,0,0 05-05~1,0,0,0,0 06-01~1,0,0,0,0 06-08~1,0,0,0,0 2026-05~10,3,1,1,0 2026-06M~1,0,0,0,0 2026-06~5,0,0,0,0 05-03~1,0,0,0,0 05-12~2,2,0,0,0 07-29~2,0,0,0,0 06-09~2,0,0,0,0 07-04~1,0,0,0,0 07-07~1,0,0,0,0 06-10~2,0,0,0,0 07-30~1,0,0,0,0 08-29~1,0,0,0,0 05-06~5,1,0,0,0 2026-07~4,0,0,0,0
Gabon|2026-08~12,0,0,0,0 07-20~2,0,0,0,0 07-19~2,0,0,0,0 2026-08M~2,0,0,0,0 07-18~1,0,0,0,0 08-09~1,0,0,0,0 08-20~1,0,0,0,0 08-11~1,0,0,0,0 08-24~1,0,0,0,0 07-27~1,0,0,0,0 08-15~3,0,0,0,0 07-17~2,0,0,0,0 08-02~2,0,0,0,0 08-03~1,0,0,0,0 07-09~1,0,0,0,0 2026-07~10,0,0,0,0 07-31~2,0,0,0,0 08-07~1,0,0,0,0 08-14~1,0,0,0,0 all~22,0,0,0,0
Gambia|07-09~1,0,0,0,0 06-11~1,0,0,0,0 2026-09M~2,0,0,0,0 08-18~1,0,0,0,0 08-05~3,0,0,0,0 07-10~1,0,0,0,0 06-08~2,0,0,0,0 08-19~1,0,0,0,0 09-01~2,0,0,0,0 08-20~1,0,0,0,0 08-12~1,0,0,0,0 06-17~1,0,0,0,0 07-21~1,0,0,0,0 08-31~1,0,0,0,0 07-07~1,0,0,0,0 07-25~1,0,0,0,0 05-31~1,0,0,0,0 2026-07~5,1,0,0,0 08-16~1,0,0,0,0 05-03~1,0,0,0,0 09-02~2,0,0,0,0 05-23~1,0,0,0,0 08-04~2,0,0,0,0 07-17~1,0,0,0,0 06-16~2,0,0,0,0 07-06~1,0,0,0,0 07-18~1,0,0,0,0 08-21~2,0,0,0,0 07-12~1,0,0,0,0 06-10~1,0,0,0,0 07-08~1,0,0,0,0 06-21~2,0,0,0,0 06-03~1,0,0,0,0 06-28~2,0,0,0,0 07-15~1,0,0,0,0 08-28~3,0,0,0,0 07-20~1,0,0,0,0 06-06~2,0,0,0,0 08-07~1,0,0,0,0 06-15~2,0,0,0,0 07-04~2,0,0,0,0 06-04~1,0,0,0,0 06-24~2,0,0,0,0 05-21~1,0,0,0,0 08-10~1,0,0,0,0 08-09~2,0,0,0,0 05-28~1,0,0,0,0 06-01~1,0,0,0,0 07-19~1,0,0,0,0 08-13~1,0,0,0,0 07-05~2,0,0,0,0 06-30~5,3,1,1,0 06-02~1,0,0,0,0 07-03~2,0,0,0,0 08-11~1,0,0,0,0 07-13~1,0,0,0,0 06-12~1,0,0,0,0 06-05~1,0,0,0,0 07-14~1,0,0,0,0 05-09~1,0,0,0,0 all~20,5,1,1,0 05-16~1,0,0,0,0 2026-09~2,0,0,0,0 08-29~1,0,0,0,0 2026-05M~1,0,0,0,0 06-23~2,0,0,0,0 08-27~2,0,0,0,0 06-22~1,0,0,0,0 08-25~1,0,0,0,0 2026-06~11,4,1,1,0 07-29~1,0,0,0,0 06-18~1,0,0,0,0 08-30~1,0,0,0,0 06-14~1,0,0,0,0 08-14~1,0,0,0,0 08-23~1,0,0,0,0 08-08~1,0,0,0,0 08-17~2,0,0,0,0 06-27~4,0,0,0,0 06-26~1,0,0,0,0 2026-07M~2,0,0,0,0 06-25~2,0,0,0,0 06-29~3,1,0,0,0 2026-05~4,0,0,0,0 07-01~2,0,0,0,0 06-19~2,0,0,0,0 07-16~2,1,0,0,0 06-09~2,0,0,0,0 07-11~1,0,0,0,0 05-01~1,0,0,0,0 2026-06M~2,0,0,0,0 08-26~2,0,0,0,0 2026-08~5,0,0,0,0 08-06~1,0,0,0,0 06-13~1,0,0,0,0 06-20~1,0,0,0,0 08-24~1,0,0,0,0 08-22~1,0,0,0,0
Georgia|08-07~78,23,12,0,0 09-02~89,20,10,8,0 all~4273,1279,553,166,24 07-15~77,11,0,0,0 08-23~22,1,0,0,0 06-01~123,29,21,2,0 07-19~38,4,0,0,0 05-25~84,26,7,2,1 07-12~26,1,0,0,0 2026-05~1391,423,124,29,5 06-27~57,7,0,0,0 07-06~92,13,4,1,0 05-14~97,26,15,1,0 06-12~118,27,16,8,2 06-03~139,35,17,3,1 07-01~122,19,4,3,0 06-19~71,10,6,2,0 08-04~90,21,9,3,0 08-01~34,3,0,0,0 05-10~37,2,0,0,0 08-13~77,12,6,2,0 08-08~26,1,0,0,0 07-04~38,1,0,0,0 08-02~28,5,1,1,0 06-22~100,13,4,0,0 07-13~76,18,9,4,0 06-14~45,2,0,0,0 07-25~21,2,1,0,0 07-26~16,2,0,0,0 08-18~92,11,1,0,0 2026-08M~60,8,1,1,0 05-17~27,1,0,0,0 07-16~91,20,5,1,0 05-22~109,34,10,0,0 07-18~44,5,0,0,0 07-09~108,23,11,3,0 06-11~156,33,9,2,0 08-29~26,1,0,0,0 08-26~63,5,1,0,0 08-19~78,9,3,3,0 09-01~116,40,26,13,0 07-29~99,21,9,2,0 07-20~87,13,4,0,0 05-27~136,40,18,5,0 07-07~90,18,6,3,0 08-11~129,12,1,1,0 05-05~99,22,0,0,0 05-20~98,23,2,1,0 06-06~46,2,0,0,0 08-09~24,1,0,0,0 05-12~51,1,0,0,0 07-03~77,15,3,1,0 07-05~29,1,0,0,0 05-15~148,51,27,3,0 06-09~138,43,21,8,0 07-11~37,4,1,1,0 07-27~72,8,3,3,0 06-23~85,7,3,1,0 05-31~30,1,0,0,0 05-29~219,62,36,6,1 05-09~41,2,0,0,0 05-02~36,3,0,0,0 05-01~123,20,0,0,0 06-15~111,10,2,0,0 07-14~113,20,6,1,1 2026-07~1021,298,127,39,5 07-22~79,13,5,0,0 06-05~121,24,2,0,0 08-30~19,2,0,0,0 08-31~106,37,20,6,0 08-28~32,2,1,0,0 06-18~91,12,10,2,1 06-07~48,7,0,0,0 05-30~48,2,0,0,0 07-10~88,21,12,3,0 06-08~133,41,15,3,0 05-11~107,26,0,0,0 08-14~78,8,1,0,0 06-10~115,29,12,5,1 07-08~106,25,16,0,0 08-15~31,0,0,0,0 08-17~89,17,8,5,0 05-26~47,6,0,0,0 05-28~120,25,3,1,0 05-21~82,16,5,1,0 06-24~116,27,15,8,6 05-19~87,20,6,1,1 07-23~89,9,3,0,0 2026-06M~188,48,31,3,0 06-25~104,17,12,1,0 2026-08~932,253,116,41,4 08-12~81,10,1,0,0 08-03~104,36,18,5,0 05-16~39,5,0,0,0 06-30~130,26,15,1,0 07-28~89,15,9,6,0 2026-09~162,54,36,23,0 06-17~100,15,7,3,2 06-02~107,21,11,2,0 08-05~77,14,4,2,0 2026-07M~176,34,10,5,1 06-04~147,33,6,2,0 06-29~98,10,6,2,0 07-31~97,17,4,2,1 08-21~70,11,1,0,0 06-20~58,5,0,0,0 06-13~48,6,1,1,0 07-24~81,11,2,0,0 07-21~89,18,7,0,0 08-16~33,4,0,0,0 2026-06~1453,421,195,60,17 08-22~20,0,0,0,0 05-18~100,14,3,3,0 05-03~39,1,0,0,0 08-27~54,7,4,2,0 08-10~75,8,7,1,0 05-08~92,16,0,0,0 08-06~78,20,13,3,0 05-04~128,34,0,0,0 08-25~66,13,5,3,0 06-16~86,15,4,1,1 05-23~45,4,1,0,0 2026-09M~162,54,36,23,0 08-20~63,11,5,0,0 08-24~78,21,15,5,1 06-21~43,4,0,0,0 05-24~40,3,0,0,0 07-30~82,19,10,2,0 06-28~59,9,0,0,0 05-07~99,20,0,0,0 2026-05M~146,23,0,0,0 06-26~99,15,3,2,2 07-02~96,19,6,2,0 07-17~101,21,8,2,0 05-13~110,25,4,2,0 05-06~131,33,0,0,0 sr~4410,1922 se~24268,762,29,21.6,4.74
Germany|07-23~567,46,12,5,1 07-19~45849,117,45,18,11 06-01~248,47,20,9,1 06-26~541,40,8,4,3 05-09~260,50,0,0,0 06-12~708,28,17,3,1 08-31~240,68,14,6,4 05-14~181,50,10,4,0 07-07~748,51,17,10,1 07-18~33096,118,53,28,20 05-08~230,20,0,0,0 06-16~362,39,27,6,2 06-13~524,33,23,14,5 05-31~264,48,19,13,1 06-07~297,42,24,5,0 05-27~212,43,25,8,3 05-03~282,28,0,0,0 08-22~401,112,18,11,1 06-27~609,35,8,3,1 07-12~862,83,46,29,17 08-25~315,101,17,11,0 07-20~23917,72,28,22,15 05-20~177,42,9,2,1 05-23~158,46,10,2,1 07-25~986,65,13,7,1 05-28~377,55,24,11,7 06-04~252,48,34,8,1 08-20~813,290,28,13,1 07-26~669,67,18,6,1 05-07~167,24,0,0,0 08-12~10666,1028,18,9,2 05-12~170,45,0,0,0 08-28~309,81,17,9,4 06-05~260,35,19,8,1 08-01~13976,786,56,34,4 2026-09M~325,84,21,9,2 08-02~13867,798,26,13,4 06-24~911,68,9,2,2 06-02~221,27,16,11,2 05-29~357,66,27,17,6 05-15~204,53,13,5,2 05-04~266,39,0,0,0 06-15~342,28,19,6,0 07-17~15883,165,26,10,7 08-17~5740,409,16,8,2 2026-05~3849,1213,271,140,49 05-24~175,64,17,6,2 07-02~843,31,7,2,0 06-25~658,73,20,6,0 05-13~145,36,2,1,1 05-30~256,50,16,6,1 08-04~10395,705,10,6,2 08-23~429,119,30,15,8 05-25~176,56,19,8,4 2026-07~198513,5309,641,357,174 08-11~12032,1605,21,11,4 06-20~281,29,15,7,2 08-27~281,82,12,4,1 08-21~648,213,22,11,2 05-16~174,41,10,6,1 08-03~11657,768,23,13,3 2026-08M~27633,1569,82,47,8 08-13~6330,824,30,13,4 all~385846,22640,2222,1147,413 07-08~697,37,17,5,1 06-10~582,47,28,10,3 2026-06M~395,73,36,20,3 05-11~218,40,0,0,0 08-29~248,74,15,7,4 08-30~251,66,9,5,0 05-01~254,21,0,0,0 06-23~2037,69,22,12,3 05-18~179,40,9,6,3 08-06~10420,704,24,11,2 07-14~503,47,25,14,8 08-08~11356,1221,25,10,2 07-15~817,83,32,18,12 06-14~344,33,18,6,0 08-24~397,118,19,7,4 05-02~287,18,0,0,0 06-17~293,37,27,6,0 06-03~341,38,14,9,0 06-28~832,68,13,7,1 07-30~14206,849,24,13,2 07-31~12831,776,24,17,3 06-29~537,43,9,2,0 2026-06~12332,1237,590,250,69 07-13~764,69,26,18,11 06-22~1653,53,20,11,4 06-08~229,25,11,5,2 07-10~699,48,18,7,1 07-11~713,42,14,7,2 06-09~389,42,19,3,0 06-21~270,26,15,7,0 08-18~5459,437,26,12,4 08-07~11511,1053,47,22,6 07-28~16498,867,9,2,1 06-30~782,49,18,5,1 09-01~219,61,11,4,1 08-19~1262,389,20,8,3 06-06~230,32,17,7,0 07-27~12168,518,19,8,2 08-09~11256,1093,17,7,1 2026-05M~475,39,0,0,0 05-26~148,39,11,6,3 2026-07M~1418,81,24,12,2 2026-08~174528,15069,716,357,99 07-21~5222,62,27,18,13 2026-09~325,84,21,9,2 05-21~157,38,10,7,2 08-15~8664,575,50,26,2 07-05~693,51,21,7,1 05-05~219,20,0,0,0 05-10~196,34,0,0,0 05-19~174,51,11,5,3 08-05~10239,665,16,6,3 05-06~164,24,0,0,0 07-06~624,25,6,3,0 07-03~620,60,18,9,3 07-16~509,68,27,14,11 07-22~415,41,15,8,2 07-24~681,43,11,4,2 06-19~349,53,31,10,4 07-01~720,50,17,9,2 07-04~620,22,4,1,0 06-18~340,63,44,24,18 08-10~12275,1443,16,2,0 08-14~5764,473,36,11,4 07-29~13785,853,20,3,1 08-16~8278,485,31,11,1 05-17~157,43,8,4,0 06-11~879,54,26,11,4 07-09~697,39,13,5,1 09-02~200,29,10,4,0 08-26~309,75,7,4,2 05-22~200,52,21,12,2 sr~388222,266617 se~466231,276,6,34.5,2.87
Ghana|07-13~2,0,0,0,0 07-30~6,1,0,0,0 06-28~6,4,0,0,0 08-21~2,0,0,0,0 2026-08~24,10,3,1,0 07-29~69,12,0,0,0 08-20~1,0,0,0,0 2026-09~1,0,0,0,0 08-19~1,0,0,0,0 09-01~1,0,0,0,0 07-18~5,3,0,0,0 05-06~1,0,0,0,0 06-26~10,4,1,0,0 06-04~2,0,0,0,0 05-08~1,1,0,0,0 08-04~4,1,0,0,0 08-01~4,1,1,1,0 05-14~2,0,0,0,0 05-05~1,0,0,0,0 06-27~7,5,0,0,0 08-24~1,1,0,0,0 07-21~2,1,1,0,0 08-18~1,0,0,0,0 2026-06~59,30,7,4,0 06-29~7,3,0,0,0 07-31~4,2,1,0,0 06-18~3,1,1,1,0 08-03~2,0,0,0,0 05-12~3,1,0,0,0 08-11~1,0,0,0,0 05-09~2,1,0,0,0 07-19~2,1,0,0,0 07-27~1,1,0,0,0 2026-09M~1,0,0,0,0 06-25~5,2,0,0,0 07-25~1,1,0,0,0 08-16~2,2,0,0,0 06-16~2,0,0,0,0 05-01~3,1,0,0,0 05-20~1,0,0,0,0 08-02~2,0,0,0,0 06-09~4,3,2,0,0 05-04~1,0,0,0,0 08-27~2,1,1,0,0 2026-07M~11,3,1,1,0 05-30~1,0,0,0,0 2026-05~27,9,1,1,0 05-27~1,0,0,0,0 all~208,74,14,7,0 08-17~1,0,0,0,0 05-31~2,1,1,1,0 07-02~3,2,1,1,0 07-03~1,0,0,0,0 08-05~1,0,0,0,0 05-24~1,1,0,0,0 06-14~1,1,1,1,0 08-06~2,1,0,0,0 06-21~1,1,0,0,0 05-03~2,0,0,0,0 05-16~1,1,0,0,0 08-09~1,1,0,0,0 2026-05M~7,2,0,0,0 05-10~2,0,0,0,0 05-07~1,1,0,0,0 2026-07~102,25,3,1,0 2026-08M~6,1,1,1,0 07-06~1,1,0,0,0 07-07~2,0,0,0,0 06-17~3,2,0,0,0 07-08~1,1,0,0,0 08-07~1,1,1,0,0 06-20~1,0,0,0,0 05-02~5,1,0,0,0 06-30~3,2,0,0,0 08-15~5,2,0,0,0 08-13~2,1,0,0,0 07-01~8,1,0,0,0 06-19~4,3,2,2,0 06-12~1,0,0,0,0 07-16~2,0,0,0,0 06-23~2,0,0,0,0 se~263,160,29,10.6,2.71
Gibraltar|2026-07~2,0,0,0,0 07-07~1,0,0,0,0 06-27~1,0,0,0,0 06-19~2,1,0,0,0 all~14,3,0,0,0 06-23~2,0,0,0,0 07-21~1,0,0,0,0 05-12~1,1,0,0,0 06-24~3,1,0,0,0 2026-06~8,2,0,0,0 06-20~1,0,0,0,0 08-23~1,0,0,0,0 08-31~1,0,0,0,0 2026-08~3,0,0,0,0 08-24~1,0,0,0,0 06-26~1,0,0,0,0 05-14~1,0,0,0,0 2026-05~2,1,0,0,0
Greece|05-30~12,1,0,0,0 08-28~15,0,0,0,0 06-02~11,2,1,1,1 05-19~4,2,2,0,0 07-07~17,0,0,0,0 05-14~4,0,0,0,0 08-12~15,0,0,0,0 06-03~8,0,0,0,0 05-18~5,0,0,0,0 07-22~13,2,1,1,1 07-10~9,1,0,0,0 06-08~6,0,0,0,0 2026-06M~16,2,1,1,1 08-23~18,0,0,0,0 05-01~7,2,0,0,0 2026-06~108,20,17,5,4 06-28~13,0,0,0,0 07-30~13,0,0,0,0 2026-08M~14,0,0,0,0 08-05~14,0,0,0,0 06-23~12,0,0,0,0 08-27~17,2,0,0,0 05-24~5,0,0,0,0 06-15~9,1,1,0,0 07-14~8,0,0,0,0 06-27~8,0,0,0,0 06-19~8,2,1,0,0 07-01~12,1,0,0,0 07-18~10,0,0,0,0 2026-05M~8,2,0,0,0 05-09~2,1,0,0,0 08-20~12,0,0,0,0 06-22~9,0,0,0,0 07-06~12,1,0,0,0 08-15~13,0,0,0,0 07-17~10,1,1,0,0 05-04~8,1,0,0,0 05-11~2,1,0,0,0 06-18~8,0,0,0,0 08-04~13,0,0,0,0 06-07~3,0,0,0,0 09-02~21,2,1,0,0 07-23~10,0,0,0,0 06-11~15,3,3,0,0 07-09~14,1,1,0,0 08-10~12,0,0,0,0 09-01~18,1,0,0,0 08-19~14,0,0,0,0 05-26~8,2,1,1,1 06-20~7,1,1,1,0 08-17~12,1,0,0,0 08-25~12,0,0,0,0 08-22~12,1,0,0,0 07-05~11,0,0,0,0 08-06~6,0,0,0,0 08-29~11,0,0,0,0 07-02~18,3,2,0,0 07-12~8,0,0,0,0 2026-07M~22,3,2,0,0 05-28~13,0,0,0,0 06-13~8,1,1,1,0 05-07~1,1,0,0,0 05-06~4,0,0,0,0 2026-07~105,17,9,6,2 07-11~7,0,0,0,0 06-09~10,6,6,0,0 08-07~8,1,0,0,0 08-26~14,0,0,0,0 06-21~10,1,0,0,0 05-08~5,0,0,0,0 05-23~6,0,0,0,0 05-22~6,0,0,0,0 05-20~4,0,0,0,0 08-18~13,0,0,0,0 08-01~9,0,0,0,0 07-13~12,1,0,0,0 05-29~5,0,0,0,0 08-11~13,0,0,0,0 08-08~89,1,0,0,0 05-03~7,2,0,0,0 05-02~3,0,0,0,0 06-04~9,0,0,0,0 08-16~12,1,1,0,0 06-17~5,0,0,0,0 07-25~8,0,0,0,0 07-27~10,1,1,1,0 05-25~6,1,1,1,1 07-08~8,0,0,0,0 06-10~8,0,0,0,0 2026-09M~27,3,1,0,0 06-26~15,0,0,0,0 08-21~12,2,0,0,0 06-14~8,1,1,0,0 06-25~18,0,0,0,0 08-02~12,0,0,0,0 2026-08~366,19,4,1,0 07-19~12,0,0,0,0 06-01~10,0,0,0,0 06-06~4,0,0,0,0 all~595,77,39,17,9 05-16~4,2,1,1,1 07-16~9,1,1,1,1 07-03~11,0,0,0,0 07-21~12,0,0,0,0 06-12~12,1,0,0,0 07-15~16,4,1,1,0 05-21~3,0,0,0,0 06-05~4,0,0,0,0 05-15~2,0,0,0,0 07-29~18,0,0,0,0 05-10~2,0,0,0,0 06-16~10,0,0,0,0 05-05~9,2,0,0,0 05-27~6,0,0,0,0 05-31~12,2,2,1,0 05-12~4,0,0,0,0 06-24~18,1,1,1,0 08-03~14,2,1,1,0 2026-09~27,3,1,0,0 08-14~70,1,0,0,0 05-17~3,0,0,0,0 05-13~4,1,1,1,0 08-13~22,2,0,0,0 08-30~56,2,2,0,0 07-28~11,0,0,0,0 06-30~17,1,1,1,1 07-24~10,1,0,0,0 07-04~17,0,0,0,0 2026-05~75,21,8,5,3 08-09~10,2,0,0,0 08-24~14,1,0,0,0 08-31~16,1,0,0,0 07-31~11,2,0,0,0 06-29~16,0,0,0,0 07-26~13,2,1,1,0 07-20~12,0,0,0,0 sr~682,296 se~2107,1266,69,7.8,23.58
Greenland|08-02~1,0,0,0,0 06-04~1,0,0,0,0 2026-06M~1,0,0,0,0 07-31~3,0,0,0,0 08-04~1,0,0,0,0 05-31~1,0,0,0,0 all~12,3,2,2,2 2026-07~8,3,2,2,2 06-01~1,0,0,0,0 06-11~1,0,0,0,0 06-05~1,0,0,0,0 07-26~1,0,0,0,0 08-14~1,0,0,0,0 08-05~1,0,0,0,0 07-22~2,1,1,1,1 07-28~1,0,0,0,0 2026-05~1,0,0,0,0 07-04~1,1,0,0,0 2026-07M~1,1,1,1,1 2026-08M~1,0,0,0,0 2026-06~4,0,0,0,0 08-03~1,0,0,0,0 08-12~1,0,0,0,0 07-23~1,0,0,0,0 09-01~1,0,0,0,0 08-13~1,0,0,0,0 09-02~1,0,0,0,0 07-01~1,1,1,1,1 08-17~1,0,0,0,0 06-22~1,0,0,0,0 2026-09~1,0,0,0,0 08-07~2,0,0,0,0 2026-08~2,0,0,0,0 2026-09M~1,0,0,0,0 08-06~1,0,0,0,0
